run_timestamp_utc,search_date,origin,destination,outbound_date,return_date,nights,best_price,currency,adults,airline,stops,depart_time,route,source,booking_link,is_cheapest_this_run
2026-06-03T05:26:21+00:00,2026-06-03,LGW,RMU,2026-07-03,2026-07-08,5,120.0,GBP,2,easyJet,0,2026-07-03T07:00:00,LGW-RMU,google,https://www.google.com/travel/flights?q=Flights+to+RMU+from+LGW+on+2026-07-03+returning+2026-07-08&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,LGW,RMU,2026-07-03,2026-07-09,6,120.0,GBP,2,easyJet,0,2026-07-03T07:00:00,LGW-RMU,google,https://www.google.com/travel/flights?q=Flights+to+RMU+from+LGW+on+2026-07-03+returning+2026-07-09&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,LGW,RMU,2026-07-03,2026-07-10,7,122.0,GBP,2,easyJet,0,2026-07-03T07:00:00,LGW-RMU,cached,https://www.google.com/travel/flights?q=Flights+to+RMU+from+LGW+on+2026-07-03+returning+2026-07-10&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,LGW,RMU,2026-07-04,2026-07-09,5,122.0,GBP,2,easyJet,0,2026-07-04T15:55:00,LGW-RMU,cached,https://www.google.com/travel/flights?q=Flights+to+RMU+from+LGW+on+2026-07-04+returning+2026-07-09&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,LGW,RMU,2026-07-04,2026-07-10,6,122.0,GBP,2,easyJet,0,2026-07-04T15:55:00,LGW-RMU,cached,https://www.google.com/travel/flights?q=Flights+to+RMU+from+LGW+on+2026-07-04+returning+2026-07-10&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,LGW,RMU,2026-07-04,2026-07-11,7,122.0,GBP,2,easyJet,0,2026-07-04T15:55:00,LGW-RMU,cached,https://www.google.com/travel/flights?q=Flights+to+RMU+from+LGW+on+2026-07-04+returning+2026-07-11&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,LGW,RMU,2026-07-05,2026-07-10,5,122.0,GBP,2,easyJet,0,2026-07-05T06:25:00,LGW-RMU,cached,https://www.google.com/travel/flights?q=Flights+to+RMU+from+LGW+on+2026-07-05+returning+2026-07-10&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,LGW,RMU,2026-07-05,2026-07-11,6,118.0,GBP,2,easyJet,0,2026-07-05T06:25:00,LGW-RMU,google,https://www.google.com/travel/flights?q=Flights+to+RMU+from+LGW+on+2026-07-05+returning+2026-07-11&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,LGW,RMU,2026-07-05,2026-07-12,7,122.0,GBP,2,easyJet,0,2026-07-05T06:25:00,LGW-RMU,cached,https://www.google.com/travel/flights?q=Flights+to+RMU+from+LGW+on+2026-07-05+returning+2026-07-12&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,LGW,RMU,2026-07-06,2026-07-11,5,105.0,GBP,2,easyJet,0,2026-07-06T16:15:00,LGW-RMU,google,https://www.google.com/travel/flights?q=Flights+to+RMU+from+LGW+on+2026-07-06+returning+2026-07-11&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,LGW,RMU,2026-07-06,2026-07-12,6,122.0,GBP,2,easyJet,0,2026-07-06T16:15:00,LGW-RMU,cached,https://www.google.com/travel/flights?q=Flights+to+RMU+from+LGW+on+2026-07-06+returning+2026-07-12&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,LGW,RMU,2026-07-06,2026-07-13,7,122.0,GBP,2,easyJet,0,2026-07-06T16:15:00,LGW-RMU,cached,https://www.google.com/travel/flights?q=Flights+to+RMU+from+LGW+on+2026-07-06+returning+2026-07-13&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,LGW,RMU,2026-07-07,2026-07-12,5,122.0,GBP,2,easyJet,0,2026-07-07T05:40:00,LGW-RMU,cached,https://www.google.com/travel/flights?q=Flights+to+RMU+from+LGW+on+2026-07-07+returning+2026-07-12&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,LGW,RMU,2026-07-07,2026-07-13,6,122.0,GBP,2,easyJet,0,2026-07-07T05:40:00,LGW-RMU,cached,https://www.google.com/travel/flights?q=Flights+to+RMU+from+LGW+on+2026-07-07+returning+2026-07-13&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,LGW,RMU,2026-07-07,2026-07-14,7,110.0,GBP,2,easyJet,0,2026-07-07T05:40:00,LGW-RMU,google,https://www.google.com/travel/flights?q=Flights+to+RMU+from+LGW+on+2026-07-07+returning+2026-07-14&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,LGW,RMU,2026-07-08,2026-07-13,5,122.0,GBP,2,easyJet,0,2026-07-08T16:15:00,LGW-RMU,cached,https://www.google.com/travel/flights?q=Flights+to+RMU+from+LGW+on+2026-07-08+returning+2026-07-13&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,LGW,RMU,2026-07-08,2026-07-14,6,103.0,GBP,2,easyJet,0,2026-07-08T16:15:00,LGW-RMU,google,https://www.google.com/travel/flights?q=Flights+to+RMU+from+LGW+on+2026-07-08+returning+2026-07-14&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,LGW,RMU,2026-07-08,2026-07-15,7,112.0,GBP,2,easyJet,0,2026-07-08T16:15:00,LGW-RMU,google,https://www.google.com/travel/flights?q=Flights+to+RMU+from+LGW+on+2026-07-08+returning+2026-07-15&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,LGW,RMU,2026-07-09,2026-07-14,5,122.0,GBP,2,easyJet,0,2026-07-09T17:15:00,LGW-RMU,cached,https://www.google.com/travel/flights?q=Flights+to+RMU+from+LGW+on+2026-07-09+returning+2026-07-14&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,LGW,RMU,2026-07-09,2026-07-15,6,122.0,GBP,2,easyJet,0,2026-07-09T17:15:00,LGW-RMU,cached,https://www.google.com/travel/flights?q=Flights+to+RMU+from+LGW+on+2026-07-09+returning+2026-07-15&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,LGW,RMU,2026-07-09,2026-07-16,7,122.0,GBP,2,easyJet,0,2026-07-09T17:15:00,LGW-RMU,cached,https://www.google.com/travel/flights?q=Flights+to+RMU+from+LGW+on+2026-07-09+returning+2026-07-16&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,LGW,RMU,2026-07-10,2026-07-15,5,122.0,GBP,2,easyJet,0,2026-07-10T07:00:00,LGW-RMU,cached,https://www.google.com/travel/flights?q=Flights+to+RMU+from+LGW+on+2026-07-10+returning+2026-07-15&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,LGW,RMU,2026-07-10,2026-07-16,6,122.0,GBP,2,easyJet,0,2026-07-10T07:00:00,LGW-RMU,cached,https://www.google.com/travel/flights?q=Flights+to+RMU+from+LGW+on+2026-07-10+returning+2026-07-16&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,LGW,RMU,2026-07-11,2026-07-16,5,122.0,GBP,2,easyJet,0,2026-07-11T15:55:00,LGW-RMU,cached,https://www.google.com/travel/flights?q=Flights+to+RMU+from+LGW+on+2026-07-11+returning+2026-07-16&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,STN,ALC,2026-07-02,2026-07-07,5,42.09,GBP,2,Ryanair,0,2026-07-02T14:55:00,STN-ALC,ryanair,https://www.google.com/travel/flights?q=Flights+to+ALC+from+STN+on+2026-07-02+returning+2026-07-07&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,STN,ALC,2026-07-02,2026-07-08,6,42.09,GBP,2,Ryanair,0,2026-07-02T14:55:00,STN-ALC,ryanair,https://www.google.com/travel/flights?q=Flights+to+ALC+from+STN+on+2026-07-02+returning+2026-07-08&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,STN,ALC,2026-07-02,2026-07-09,7,42.09,GBP,2,Ryanair,0,2026-07-02T14:55:00,STN-ALC,ryanair,https://www.google.com/travel/flights?q=Flights+to+ALC+from+STN+on+2026-07-02+returning+2026-07-09&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,STN,ALC,2026-07-03,2026-07-08,5,33.24,GBP,2,Ryanair,0,2026-07-03T21:30:00,STN-ALC,ryanair,https://www.google.com/travel/flights?q=Flights+to+ALC+from+STN+on+2026-07-03+returning+2026-07-08&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,STN,ALC,2026-07-03,2026-07-09,6,33.24,GBP,2,Ryanair,0,2026-07-03T21:30:00,STN-ALC,ryanair,https://www.google.com/travel/flights?q=Flights+to+ALC+from+STN+on+2026-07-03+returning+2026-07-09&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,STN,ALC,2026-07-03,2026-07-10,7,33.24,GBP,2,Ryanair,0,2026-07-03T21:30:00,STN-ALC,ryanair,https://www.google.com/travel/flights?q=Flights+to+ALC+from+STN+on+2026-07-03+returning+2026-07-10&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,STN,ALC,2026-07-04,2026-07-09,5,21.69,GBP,2,Ryanair,0,2026-07-04T18:30:00,STN-ALC,ryanair,https://www.google.com/travel/flights?q=Flights+to+ALC+from+STN+on+2026-07-04+returning+2026-07-09&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,STN,ALC,2026-07-04,2026-07-10,6,21.69,GBP,2,Ryanair,0,2026-07-04T18:30:00,STN-ALC,ryanair,https://www.google.com/travel/flights?q=Flights+to+ALC+from+STN+on+2026-07-04+returning+2026-07-10&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,STN,ALC,2026-07-04,2026-07-11,7,21.69,GBP,2,Ryanair,0,2026-07-04T18:30:00,STN-ALC,ryanair,https://www.google.com/travel/flights?q=Flights+to+ALC+from+STN+on+2026-07-04+returning+2026-07-11&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,STN,ALC,2026-07-05,2026-07-10,5,27.96,GBP,2,Ryanair,0,2026-07-05T14:50:00,STN-ALC,ryanair,https://www.google.com/travel/flights?q=Flights+to+ALC+from+STN+on+2026-07-05+returning+2026-07-10&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,STN,ALC,2026-07-05,2026-07-11,6,27.96,GBP,2,Ryanair,0,2026-07-05T14:50:00,STN-ALC,ryanair,https://www.google.com/travel/flights?q=Flights+to+ALC+from+STN+on+2026-07-05+returning+2026-07-11&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,STN,ALC,2026-07-05,2026-07-12,7,27.96,GBP,2,Ryanair,0,2026-07-05T14:50:00,STN-ALC,ryanair,https://www.google.com/travel/flights?q=Flights+to+ALC+from+STN+on+2026-07-05+returning+2026-07-12&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,STN,ALC,2026-07-06,2026-07-11,5,23.55,GBP,2,Ryanair,0,2026-07-06T18:00:00,STN-ALC,ryanair,https://www.google.com/travel/flights?q=Flights+to+ALC+from+STN+on+2026-07-06+returning+2026-07-11&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,STN,ALC,2026-07-06,2026-07-12,6,23.55,GBP,2,Ryanair,0,2026-07-06T18:00:00,STN-ALC,ryanair,https://www.google.com/travel/flights?q=Flights+to+ALC+from+STN+on+2026-07-06+returning+2026-07-12&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,STN,ALC,2026-07-06,2026-07-13,7,23.55,GBP,2,Ryanair,0,2026-07-06T18:00:00,STN-ALC,ryanair,https://www.google.com/travel/flights?q=Flights+to+ALC+from+STN+on+2026-07-06+returning+2026-07-13&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,STN,ALC,2026-07-07,2026-07-12,5,24.99,GBP,2,Ryanair,0,2026-07-07T06:30:00,STN-ALC,ryanair,https://www.google.com/travel/flights?q=Flights+to+ALC+from+STN+on+2026-07-07+returning+2026-07-12&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,STN,ALC,2026-07-07,2026-07-13,6,24.99,GBP,2,Ryanair,0,2026-07-07T06:30:00,STN-ALC,ryanair,https://www.google.com/travel/flights?q=Flights+to+ALC+from+STN+on+2026-07-07+returning+2026-07-13&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,STN,ALC,2026-07-07,2026-07-14,7,24.99,GBP,2,Ryanair,0,2026-07-07T06:30:00,STN-ALC,ryanair,https://www.google.com/travel/flights?q=Flights+to+ALC+from+STN+on+2026-07-07+returning+2026-07-14&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,STN,ALC,2026-07-08,2026-07-13,5,26.99,GBP,2,Ryanair,0,2026-07-08T17:00:00,STN-ALC,ryanair,https://www.google.com/travel/flights?q=Flights+to+ALC+from+STN+on+2026-07-08+returning+2026-07-13&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,STN,ALC,2026-07-08,2026-07-14,6,26.99,GBP,2,Ryanair,0,2026-07-08T17:00:00,STN-ALC,ryanair,https://www.google.com/travel/flights?q=Flights+to+ALC+from+STN+on+2026-07-08+returning+2026-07-14&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,STN,ALC,2026-07-08,2026-07-15,7,26.99,GBP,2,Ryanair,0,2026-07-08T14:45:00,STN-ALC,ryanair,https://www.google.com/travel/flights?q=Flights+to+ALC+from+STN+on+2026-07-08+returning+2026-07-15&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,STN,ALC,2026-07-09,2026-07-14,5,35.13,GBP,2,Ryanair,0,2026-07-09T17:25:00,STN-ALC,ryanair,https://www.google.com/travel/flights?q=Flights+to+ALC+from+STN+on+2026-07-09+returning+2026-07-14&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,STN,ALC,2026-07-09,2026-07-15,6,35.13,GBP,2,Ryanair,0,2026-07-09T17:25:00,STN-ALC,ryanair,https://www.google.com/travel/flights?q=Flights+to+ALC+from+STN+on+2026-07-09+returning+2026-07-15&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,STN,ALC,2026-07-09,2026-07-16,7,35.13,GBP,2,Ryanair,0,2026-07-09T17:25:00,STN-ALC,ryanair,https://www.google.com/travel/flights?q=Flights+to+ALC+from+STN+on+2026-07-09+returning+2026-07-16&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,STN,ALC,2026-07-10,2026-07-15,5,29.82,GBP,2,Ryanair,0,2026-07-10T21:30:00,STN-ALC,ryanair,https://www.google.com/travel/flights?q=Flights+to+ALC+from+STN+on+2026-07-10+returning+2026-07-15&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,STN,ALC,2026-07-10,2026-07-16,6,29.82,GBP,2,Ryanair,0,2026-07-10T21:30:00,STN-ALC,ryanair,https://www.google.com/travel/flights?q=Flights+to+ALC+from+STN+on+2026-07-10+returning+2026-07-16&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,STN,ALC,2026-07-11,2026-07-16,5,21.69,GBP,2,Ryanair,0,2026-07-11T18:30:00,STN-ALC,ryanair,https://www.google.com/travel/flights?q=Flights+to+ALC+from+STN+on+2026-07-11+returning+2026-07-16&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,STN,RMU,2026-07-02,2026-07-07,5,30.82,GBP,2,Ryanair,0,2026-07-02T13:30:00,STN-RMU,ryanair,https://www.google.com/travel/flights?q=Flights+to+RMU+from+STN+on+2026-07-02+returning+2026-07-07&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,STN,RMU,2026-07-02,2026-07-08,6,30.82,GBP,2,Ryanair,0,2026-07-02T13:30:00,STN-RMU,ryanair,https://www.google.com/travel/flights?q=Flights+to+RMU+from+STN+on+2026-07-02+returning+2026-07-08&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,STN,RMU,2026-07-02,2026-07-09,7,30.82,GBP,2,Ryanair,0,2026-07-02T13:30:00,STN-RMU,ryanair,https://www.google.com/travel/flights?q=Flights+to+RMU+from+STN+on+2026-07-02+returning+2026-07-09&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,STN,RMU,2026-07-03,2026-07-08,5,69.24,GBP,2,Ryanair,0,2026-07-03T08:10:00,STN-RMU,ryanair,https://www.google.com/travel/flights?q=Flights+to+RMU+from+STN+on+2026-07-03+returning+2026-07-08&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,STN,RMU,2026-07-03,2026-07-09,6,69.24,GBP,2,Ryanair,0,2026-07-03T08:10:00,STN-RMU,ryanair,https://www.google.com/travel/flights?q=Flights+to+RMU+from+STN+on+2026-07-03+returning+2026-07-09&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,STN,RMU,2026-07-03,2026-07-10,7,69.24,GBP,2,Ryanair,0,2026-07-03T08:10:00,STN-RMU,ryanair,https://www.google.com/travel/flights?q=Flights+to+RMU+from+STN+on+2026-07-03+returning+2026-07-10&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,STN,RMU,2026-07-04,2026-07-09,5,32.71,GBP,2,Ryanair,0,2026-07-04T17:10:00,STN-RMU,ryanair,https://www.google.com/travel/flights?q=Flights+to+RMU+from+STN+on+2026-07-04+returning+2026-07-09&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,STN,RMU,2026-07-04,2026-07-10,6,32.71,GBP,2,Ryanair,0,2026-07-04T17:10:00,STN-RMU,ryanair,https://www.google.com/travel/flights?q=Flights+to+RMU+from+STN+on+2026-07-04+returning+2026-07-10&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,STN,RMU,2026-07-04,2026-07-11,7,32.71,GBP,2,Ryanair,0,2026-07-04T17:10:00,STN-RMU,ryanair,https://www.google.com/travel/flights?q=Flights+to+RMU+from+STN+on+2026-07-04+returning+2026-07-11&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,STN,RMU,2026-07-05,2026-07-10,5,24.99,GBP,2,Ryanair,0,2026-07-05T16:45:00,STN-RMU,ryanair,https://www.google.com/travel/flights?q=Flights+to+RMU+from+STN+on+2026-07-05+returning+2026-07-10&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,STN,RMU,2026-07-05,2026-07-11,6,24.99,GBP,2,Ryanair,0,2026-07-05T16:45:00,STN-RMU,ryanair,https://www.google.com/travel/flights?q=Flights+to+RMU+from+STN+on+2026-07-05+returning+2026-07-11&curr=GBP,
